geneID,entrezID,ILMN,illuminaID,logFC,pval,affyID,signature
CD34,947,ILMN,1732799,2.15,<0.0001,209543_s_at,LSC17
SPINK2,6691,ILMN,1763516,1.99,<0.0001,206310_at,N/A
LAPTM4B,55353,ILMN,2101832,1.8,<0.0001,214039_S_at,LSC17
HOXA5,3202,ILMN,1753613,1.72,<0.0001,213844_at,N/A
GUCY1A3,2982,ILMN,1808590,1.62,<0.0001,229530_at,N/A
SHANK3,85358,ILMN,2317581,1.59,<0.0001,227923_at,N/A
ANGPT1,284,ILMN,1677723,1.51,<0.0001,205609_at,N/A
ARHGAP22,58504,ILMN,1676361,1.48,<0.0001,206298_at,LSC17
LOC284422,284422,ILMN,1774375,1.45,<0.0001,231982_at,LSC17
MYCN,4613,ILMN,2219767,1.41,<0.0001,209767_s_at,N/A
MAMDC2,256691,ILMN,1679391,1.4,<0.0001,228885_at,N/A
PRSSL1,400668,ILMN,1673605,1.4,<0.0001,N/A,N/A
KIAA0125,9834,ILMN,1707491,1.4,<0.0001,206478_at,LSC17
GPSM1,26086,ILMN,1709307,1.38,<0.0001,226043_at,N/A
HOXA9,3205,ILMN,1739582,1.38,<0.0001,N/A,N/A
MMRN1,22915,ILMN,1660114,1.36,<0.0001,205612_at,LSC17
FSCN1,6624,ILMN,1808707,1.32,<0.0001,210933_s_at,N/A
DNMT3B,1789,ILMN,2328972,1.31,<0.0001,220668_s_at,LSC17
HOXA6,3203,ILMN,1815570,1.28,<0.0001,208557_at,N/A
AIF1L,83543,ILMN,3246401,1.25,<0.0001,223075_s_at,N/A
SOCS2,8835,ILMN,1798926,1.24,<0.0001,203373_at,LSC17
CDK6,1021,ILMN,1802615,1.23,<0.0001,224851_at,LSC17
FAM69B,138311,ILMN,1757440,1.2,<0.0001,229002_at,N/A
NGFRAP1,27.018,ILMN,2370091,1.2,<0.0001,217963_s_at,LSC17
C3orf54,389119,ILMN,1690454,1.2,<0.0001,229507_at,N/A
CPXM1,56265,ILMN,1712046,1.2,<0.0001,227860_at,LSC17
TNFRSF4,7293,ILMN,2112256,1.2,<0.0001,214228_x_at,N/A
ZBTB46,140685,ILMN,1710092,1.19,<0.0001,227329_at,LSC17
DPYSL3,1809,ILMN,1679262,1.16,<0.0001,201431_s_at,"LSC17, LSC3"
NYNRIN,57523,ILMN,3236858,1.15,<0.0001,220911_s_at,"LSC17, LSC3"
COL24A1,255631,ILMN,1810996,1.13,<0.0001,238732_at,N/A
FAM30A,29064,ILMN,3187535,1.11,<0.0001,N/A,N/A
C10orf140,387640,ILMN,3239861,1.1,<0.0001,N/A,N/A
SPNS2,124976,ILMN,3301749,1.07,<0.0001,2256.71_at,N/A
GPR56,9289,ILMN,2384122,1.07,0.00054,212070_at,LSC17
AKR1C3,8644,ILMN,1713124,1.06,<0.0001,209160_at,"LSC17, LSC3"
FLT3,2322,ILMN,1766363,1.05,<0.0001,206674_at,N/A
TFPI,7035,ILMN,1707124,1.05,<0.0001,213258_at,N/A
KCNK17,89822,ILMN,1717702,1.04,<0.0001,224049_at,N/A
EPDR1,54749,ILMN,1675797,1.03,<0.0001,223253_at,N/A
C1orf150,148823,ILMN,1762204,1.02,<0.0001,N/A,N/A
BIVM,54841,ILMN,2214098,1.02,<0.0001,222761_at,N/A
H2AFY2,55506,ILMN,1705570,1.02,<0.0001,218445_at,N/A
VWF,7450,ILMN,1752755,1.02,0.0001.03,202112_at,N/A
EMP1,2012,ILMN,1801616,1.01,<0.0001,201324_at,LSC17
RAGE,5891,ILMN,1745282,1.01,<0.0001,205130_at,N/A
ATP8B4,79895,ILMN,1783956,1.01,<0.0001,220416_at,N/A
GATA2,2624,ILMN,2102670,1,<0.0001,209710_at,N/A
SLC25A37,51312,ILMN,1715969,-1.01,<0.0001,222528_at,N/A
SGK,6446,ILMN,3305938,-1.01,<0.0001,201739_at,N/A
LOC652694,652694,ILMN,1680274,-1.01,<0.0001,N/A,N/A
ITPR3,3710,ILMN,1815500,-1.02,<0.0001,201187_s_at,N/A
LOC654103,654103,ILMN,1802808,-1.02,<0.0001,N/A,N/A
CXCR4,7852,ILMN,1801584,-1.04,<0.0001,217028_at,N/A
FCRL3,115352,ILMN,1691693,-1.05,<0.0001,N/A,N/A
RBM38,55544,ILMN,2404049,-1.05,<0.0001,212430_at,N/A
LILRA5,353514,ILMN,2357419,-1.06,<0.0001,215838_at,N/A
IL18RAP,8807,ILMN,1721762,-1.06,<0.0001,207072_at,N/A
CCDC109B,55013,ILMN,1801766,-1.08,<0.0001,218802_at,N/A
ISG20,3669,ILMN,1659913,-1.09,<0.0001,33304_at,N/A
MTSS1,9788,ILMN,2073289,-1.09,<0.0001,203037_s_at,N/A
CECR1,51816,ILMN,1751851,-1.1,<0.0001,219505_at,N/A
ADAM19,8728,ILMN,1713751,-1.1,<0.0001,209765_at,N/A
FCGR2A,2212,ILMN,1666932,-1.11,<0.0001,N/A,N/A
AIM2,9447,ILMN,1681301,-1.11,<0.0001,206513_at,N/A
